SEQ,CITY,STATE,LAT,LNG
1,Amritsar,Punjab,31.630611,74.889418
2,Rishikesh,Uttarakhand,30.08933,78.289232
3,Delhi,Delhi,28.612912,77.229917
4,Gurgaon,Haryana,28.411603,77.073383
5,Noida,Uttar Pradesh,28.631185,77.366034
6,Agra,Uttar Pradesh,27.174267,78.042507
7,Jaipur,Rajasthan,26.923778,75.827109
8,Kolkata,West Bengal,22.5529,88.364001
9,Ahmedabad,Gujarat,23.06,72.580833
10,Rajkot,Gujarat,22.298191,70.801404
11,Porbandar,Gujarat,21.641234,69.601028
12,Nagpur,Maharashtra,20.736111,78.6625
13,Ajanta,Maharashtra,20.550443,75.701657
14,Ellora,Maharashtra,20.025908,75.177633
15,Mumbai,Maharashtra,18.922961,72.833598
16,Pune,Maharashtra,18.55346,73.807601
17,Hyderabad,Telangana,17.43382,78.388833
18,Goa,Goa,15.503357,73.908311
19,Kovalam,Kerala,8.395066,76.972781
20,Bengaluru,Karnataka,12.97671,77.720203
21,Chennai,Tamil Nadu,13.023811,80.174966
22,Kanchipuram,Tamil Nadu,12.8475,79.7
23,Mahabalipuram,Tamil Nadu,12.619091,80.192859
24,Pondicherry,Pondicherry,12.006944,79.810556
25,Coimbatore,Tamil Nadu,11.100827,76.987935
26,Kanyakumari,Tamil Nadu,8.077893,77.555999
